userName,content
Ihsan 14,kebanyakan iklan olshop berita aja uninstal
Damianus aga Gaja gora,oke
Benny Lim,terlalu iklan
Adhie Prabawa,jelas akurat
hariyanto roestam,beritanya up date fair berpihak 
Hasan Sentosa,besok aja
Jule Sportindo,gw uninstal       sory     netral bro    berita sungguh aneh    pantes dagh bnyak yg bilang
Waris saja,bagus update terus    kalo politik pemberita yg netral   terbaru pokoknya
Anovtrizal Masdar,beritanya realistis
Bambang Sulistio,detikcom up to ooldate beritanya
Bramastyo Lusiantoko,banyak kesalahan penulisan  pembaca mengerti isi berita 
Muhamad Jasril,uninstall install ulang ok terimakasih  
Ayah Adi,enak bacaan utk pengetahuan
Eddy Mulyadi,semoga detikcom senantiasa berita yg akurat terpercaya  sukses detikcom  
Basuki Mufid,detikcom pendamping berita
muhammad priyanto,ini lg baca bentar  beralih kelazada    perhatikan kenyamanan pembaca nya
udi kurniawan,bagus  mudah
Muh dopar,semoga media yg independent
Jauhar Fahri,alhamdulillah detik com media yg transparan  adil tdk golongan manapun  jdlah media pemersatu bangsa
Bayu Wijaya,the best
zaki rahman,minta tarui
Athala Azka,berita nya  berimbang tolol
Slamet Riyadi,maaf kebanyakan iklan  iklan lazadanya mengecewakan kesentuh langsung amplikasinya
Rudi Putranto,tks
Yusuf Ali,berita nya aktual ngga kaya media sebelah yg ngga judul   isi berita nya
Hein Heiser,app pengulangan berita  menjemukan   membosankan  buruk bgt pokoknya
setiyo budi Wahyono,membantu orang keluh   kesal bijak
Cokro Bondan,sangat aktual  terkini   mantap
Dadi Lesmana,enak bacanya  cuma iklan  
Faidz Citi,tolong berita sesuai fakta dilapangan tingkatan konsistensi berita fakta
Man abdul Nafsahu,aplikasih yg membantu dunia berita
Rully Chelsea,berita nya update terpercaya   semoga
Didit zulnoerdiansyah,fg gg thought  
Min Kong,di detik berita isinya promosi anies semua  media alat kampanye  
Efril Firmansyah,  berita   judul berbeda tapi isinya sama   diulang ulang sekarang detik iklannya open bo wwkwkkw parah kaya ga iklan laen masuk
Wandi Irawan,sangat membantu pengetahuan beritanya 
Nuah Berdikari,terdepan berita
Adinda Putry94,informasi terupdate disini  mantap
Agus Siong,layak  mendingan versi lama  yg lemot   dan upgrade versi terbaru app detik ngk dibuka  kl buka mesti app store  sguh kecewa
agung yulianto,sayang udah ga netral  udah bau bau politik pencitaraan utk tokoh nasional tertentu   aku uninstall aja ya tik
Wawan Kustiawan,berita nya akurat uptodate
yuliyanto yang,terimakasih
Junianto Astrowijoyo,berita up to date hitungan detik
Dindin Wahyudin,beritanya terupdate
Raden Hidayatullah Kusuma Dilaga,kereen
Ibnu Sina,beritanya bagus
eko qomar,sangat membantu info update terbaru
Kaila Andini,sarang buzzer rp    
Sofie Shu,good berita nya cepat   
Drian Official,berita terbaru ada  komplet pokoknya sip
Diamon Gaming,buruk
Woke Lur,luar
Abidin Asbur,setiap saat selalu buka beritanya detik asal ada kesempatan   apalagi berita bola   
Jak Mamba,halo pemilik detik com   matikan video tiba  tampil diaplikasi  kalau jga org yg mencari dibunuh dimutilasi  bkn hanya kelurga jg dicari dibunuh dimutilasi  km mencari info ttg keluarga
E Suhendar,okeh
Andi Mappesabbi,beritanya berimbang menyajikan fakta yg
Jati Makmur,kurang kekinian
lucky jacob,mantap    
DHA arrosyid,oke banget detik com muach
Diyan Lembang,mantul aplikasi
mas kus,update terus  sesuai namanya detik diupdate
CMS Monitoring,detik top
sh_lupus 69,detik terbaik penyajian berita nya 
andigi andigi,sejak mpc login nya jd rumit   gagal
Rajidi Mlp,cukup bagus ok
Ariel Rotio Sidabutar,sekarang ribet banget   
Lilik17 Usdarwati, sekarang   
didiek eko daryadi,cukup informasi
Fati Aro Zega,lengkap komplit
Ismaya,enak dibaca akurat beritanya
Mahru Zainiz,barmasin
Bapake Zahra,recommended
Buyung Ben Yamin Inaray,   
Jerry,gk konek 
Sony Alatif, bagus
maherr chann,mantap tks
Kasmuri Bagansiapiapi Riau,kurang mantap
gulyanto bambang,menyajikan berita terbaru
Ari Irfandi,up to date  
nazla chanel 93,saya suka
fros game,seneng liat beritanya bandingkan liat berita tv swasta iklannya
Makjul1979 Sinaga,mantap bermanfaat tetaplah hebat didunia informasi berita
Agoes Moedjiono,it is my first time to try opening news  
Uwty Tes,update berita rujukan berita masyarakat    
Pengguna Google,banyak video sampah     banyak iklan sampah       lucu lu cuan     
Budi Indriawan,deh cape sering gonta ganti applikasi baca berita   ini yg detikcom  lumayan bagus  topik ktagori beritanya lengkap sampah   iklannya sedikit   ga ky tetangga sebelah sampah  iklannya bejibun ngeganggu bgt     
Yavet Takimaka Eluama,berita up to date
Fauzi Wijaya,berita nya akurat terpercaya
KaraEko NadaRendah,komentar gak langsung muncul  sendiri    harus sering  login   padahal yg scroll pas iklan langsung masuk halaman iklan  payah
Moelkhan Pulungan,informasinya cepat akurat
Indra إندرأ,nonton berita video nggk lama  tp iklannya bs   menit  sama sekali nggk proporsional  toxic  sangat mengganggu   dan keseringan aktivitas login  kerjaan loe  
SATYA UTAMA,setiap komen login akun mpc dulu  ditinggal sebentar login lagi  males komen  ujung ujungnya males baca 
Fachriy Ramadhan,detikcom buka kanal khusus perkembangan kendaraan listrik
Rafka gaming,beritanya lengkap update
Abadi Jaya,komentar eh udah loging suruh loging    ini aplikasi berita ko ribet    
Franky Albert,harapan spy  indra  tuk masyarakat  bangsa   nkri
Eko Levin,mulai memuat berita kyk pdhal versi terbaru  pakai hp oppo  
yasser hudaya,hanya judulnya saja  detaionya muncul
untung bejo,aplikasi ribet   mau tulis komentar bolak suruh tulis pa word   parah
andri rusmana71,selalu update
Eric Gual,baik lengkap
Afriyanto Yanto,mantap update
stefanie clarita sinaga,sangat
sari nikmat,jelas
Oloan Tampubolon,selalu menyajikan berita yg aktual terpercaya
Hariyadi,okelah informasinya  tapi komen berita aja ribet  musti daftar akun inilah   mah uda nge daftar  uda login  tapi auto log out ya   tiap komen login bae  heleh
Trie Moelyanto,bagus sekli berita by up to date
John Wiratama,media berita online yg menyebarkan berita hoax
Pengguna Google,terpercaya up to date
Tegoeh Boedisantoso,berita terkini
mohamad Muhibbudin,update terpercaya
HARI ANTO,lugas  bermanfaat beritanya
Anhar Eka Brahman,beritanya up to date  gambar  photo ya bagus menarik  aplikasinya simple  maju detikcom
Mardjo Petruk,berita nya akurat
Khairan amir Marunduri,bagus berita nya
Sri Rina Pramawati,terlengkap
Firman75,oke  update
SOMDANI,cepat update
Rais Thahir,berita yg update
Budi Santoso,lumayan update beritanya  cepat terpercaya
Hamzah Zay,beritanya terdepan teraktual 
susana tarsono,maksa kasih rating
